geracao,melhor_geracao,melhor_global,media_geracao,pior_geracao,std_geracao,soma_preferencias_melhor,penalidade_carga_melhor,penalidade_conflito_melhor,penalidade_carga_total,penalidade_conflito_total,melhoria_relativa,tempo_geracao_seg,stagnation_count,execucao
75,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.28509219999978086,74,2
76,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.28509830000075453,75,2
77,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.2648303999994823,76,2
78,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.2716848000000027,77,2
79,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.2669488999999885,78,2
80,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.2770015999994939,79,2
81,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.28197069999987434,80,2
82,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.2869200999994064,81,2
83,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.28414130000055593,82,2
84,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.2806521000002249,83,2
85,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.2795575000000099,84,2
86,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.27250180000010005,85,2
87,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.2818943999991461,86,2
88,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.27709739999954763,87,2
89,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.2796467999996821,88,2
90,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.2780020999998669,89,2
91,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.4194776999993337,90,2
92,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.31871589999900607,91,2
93,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.29494460000023537,92,2
94,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.31023049999930663,93,2
95,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.27768140000080166,94,2
96,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.28025290000005043,95,2
97,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.2811661000014283,96,2
98,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.4329734000002645,97,2
99,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.34720349999952305,98,2
100,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.2854088000003685,99,2
1,129,129,115.72826086956522,103,5.250472568523393,129.0,0.0,0.0,0.0,0.0,0.0,0.33965729999908945,0,3
2,131,131,128.40217391304347,123,1.5255774573747167,131.0,0.0,0.0,0.0,0.0,0.0,0.34125029999995604,0,3
3,131,131,130.57608695652175,126,0.9694652902297752,131.0,0.0,0.0,0.0,0.0,0.0,0.35429280000062136,1,3
4,131,131,130.95652173913044,129,0.2916610405434508,131.0,0.0,0.0,0.0,0.0,0.0,0.3429469999991852,2,3
5,131,131,131.0,131,0.0,131.0,0.0,0.0,0.0,0.0,0.0,0.33690779999960796,3,3
6,131,131,131.0,131,0.0,131.0,0.0,0.0,0.0,0.0,0.0,0.3086496000014449,4,3
7,131,131,131.0,131,0.0,131.0,0.0,0.0,0.0,0.0,0.0,0.31016040000031353,5,3
